id,numcrawled,avgCrawlingTime,avgPageSize
23940,13,1.22903,29.8842
23655,41,0.974638,51.8168
23815,73,0.376451,263.911
24249,0,0,0
24206,3,1.15607,6.10167
24262,0,0,0
24291,0,0,0
24302,0,0,0
23898,52,0.545649,73.279
24335,0,0,0
24368,0,0,0
24319,4,0.960395,10.1113
24324,14,0.41756,32.1832
23333,49,1.62314,70.5388
24397,8,0.312809,24.589
24123,41,0.567399,32.746
24177,15,1.35427,50.8813
24347,7,1.48214,143.187
24465,6,0.485834,51.3678
24553,0,0,0
24424,7,1.229,50.7307
24361,29,0.450329,29.3633
24586,0,0,0
24451,7,1.39385,29.0096
24477,6,1.3876,48.9195
24533,8,0.645529,30.6554
24452,8,1.34967,53.9774
23486,30,2.75164,135.507
24557,13,0.396981,20.8904
24655,0,0,0
23928,30,1.62108,46.2419
24495,14,0.826894,54.5823
24691,8,0.382206,21.4988
23791,62,1.03477,65.8705
24610,9,1.10461,22.6218
24805,5,0.773276,76.6444
24640,34,0.418781,55.565
24682,30,0.422827,20.538
24959,3,0.800762,102.962
25009,8,0.410935,33.6236
24654,13,1.73262,32.8598
24665,35,0.63752,24.3045
25142,0,0,0
25086,6,0.480587,80.2025
24713,58,0.37337,15.7604
24148,60,1.03213,144.384
25200,7,0.401162,52.2849
23068,106,1.38036,4.42933
25173,6,1.0406,26.3957
24721,21,1.39805,107.993
25285,3,0.596375,15.7493
24838,32,0.80835,25.1778
25218,12,0.562534,11.1671
25353,7,0.306866,25.4169
25307,18,0.598659,65.0588
25244,23,0.69743,95.1908
24621,82,0.60982,51.8311
24840,41,1.06244,57.0586
25543,24,0.417606,28.5055
25693,9,0.266488,18.989
25570,82,0.22211,243.532
24240,93,1.05037,164.89
23861,102,1.19929,114.226
25945,3,0.500049,9.59567
23935,106,1.12563,108.575
25140,51,0.970239,88.4606
25818,30,0.420357,98.3704
25344,61,0.644942,66.9906
25986,4,0.64802,10.5753
25629,45,0.685337,63.6649
26019,7,1.52301,21.6431
26177,0,0,0
26209,0,0,0
26039,36,0.44191,20.9866
26249,1,0.25681,26.597
26307,0,0,0
26049,14,1.66205,39.9531
26087,8,2.61659,92.5692
26030,12,2.50029,11.4786
26357,18,0.450059,14.6631
26365,10,0.690992,279.596
26367,47,0.314408,33.1899
26620,0,0,0
26222,9,3.72388,863.16
26372,20,1.00502,31.7527
26050,51,1.00924,613
26742,0,0,0
26053,46,1.24142,115.173
26725,19,0.367007,18.1269
25542,81,1.25959,60.4638
26528,50,0.572078,156.054
26865,21,0.237049,29.0069
26652,32,1.01809,99.4033
26706,26,1.21964,81.6203
25421,67,1.90105,44.0078
24979,75,2.02347,27.7339
27183,7,0.381493,35.1521
26793,40,0.79284,24.6975
27191,17,0.62612,33.6356
27019,17,1.69125,9.95
27282,16,0.614137,7.44425
27135,20,1.04003,39.139
27231,26,0.574595,25.2297
27483,0,0,0
27277,20,0.752873,42.1561
27496,0,0,0
26517,89,0.817688,49.604
26984,20,2.08973,20.6938
27546,0,0,0
27417,24,0.522438,29.7739
25631,34,4.36793,53.9252
26778,115,0.566722,23.168
26043,35,3.64128,52.0664
27464,31,0.593417,37.6389
27739,2,0.406542,12.659
27784,0,0,0
