id,numcrawled,avgCrawlingTime,avgPageSize
14171,9,0.587416,27.9416
14301,0,0,0
14281,17,0.451094,27.8163
12668,117,1.07905,66.6727
14233,22,0.681667,39.581
14151,30,0.703715,25.7287
14541,0,0,0
10046,88,3.31675,167.954
13521,26,2.39218,106.769
14289,27,0.744129,32.3381
13128,53,1.90109,69.9146
13813,69,0.718636,45.2254
13862,64,0.728603,48.8378
13788,66,0.789409,61.5829
14710,0,0,0
14705,0,0,0
14708,3,0.35321,10.671
14744,0,0,0
13998,24,1.85538,160.019
14677,9,0.464029,44.8316
14737,3,0.322554,10.671
14783,0,0,0
14507,40,0.474798,30.4985
14678,9,0.945716,23.1291
14838,0,0,0
14771,6,0.70574,83.6737
14850,0,0,0
14887,0,0,0
14882,2,0.269271,8.564
14901,0,0,0
14844,5,0.84418,98.5532
14927,0,0,0
14885,10,0.299583,30.9209
14519,35,0.760126,87.6688
14479,30,1.00028,60.6863
14969,0,0,0
12530,53,3.29432,77.5867
14970,1,0.476523,47.262
14953,4,0.411901,26.792
14993,0,0,0
14582,21,1.23426,63.665
14956,9,0.393573,21.4291
15037,0,0,0
14995,18,0.141638,14.034
14810,24,0.627218,31.8972
15062,0,0,0
15031,4,0.906756,46.7458
15094,1,0.342393,10.536
15122,0,0,0
15070,18,0.154167,18.0463
14322,46,1.04716,127.376
15100,4,0.777087,114.074
15177,0,0,0
15182,0,0,0
15015,10,1.01328,152.003
15003,22,0.75905,85.2221
14780,19,1.74383,22.8646
14872,40,0.817651,11.5855
15172,28,0.588936,123.805
15324,27,0.305161,41.3118
15488,0,0,0
15205,16,0.430666,32.1744
15156,41,0.467586,49.7606
15508,0,0,0
15524,0,0,0
15523,7,0.965077,19.5477
15289,50,0.383592,136.418
15115,71,0.443358,41.5653
15536,10,0.568184,21.9657
15742,3,0.540246,40.6563
15689,7,0.849558,33.419
15799,0,0,0
14086,47,2.14108,114.357
13437,109,1.26438,59.8761
15815,0,0,0
15843,0,0,0
15817,3,0.736305,40.5733
15700,9,1.28899,30.451
15516,38,0.581438,39.4492
15534,33,0.654649,33.4049
15902,0,0,0
15889,2,0.585647,13.478
15875,4,0.945064,15.5475
15528,19,1.50866,28.306
15964,0,0,0
15925,16,0.296512,18.6339
15370,55,0.738579,43.0095
16021,0,0,0
15829,6,3.83878,6.77283
16043,13,0.689286,31.0757
15893,22,0.933654,28.8583
15923,18,1.05674,25.1856
15894,20,0.476547,33.4832
16231,0,0,0
16237,0,0,0
15867,32,0.887178,53.258
16217,3,1.01105,12.3047
15984,38,0.549525,37.7988
16322,0,0,0
14321,97,1.31372,86.8941
14666,92,1.18091,53.4768
16522,4,0.974859,19.2653
16262,34,0.50826,41.1637
15341,21,3.67259,83.8872
16198,34,0.659662,33.0494
16621,0,0,0
16622,0,0,0
15996,46,0.849416,48.5271
16261,29,0.756811,35.7093
16636,6,0.199316,8.601
16392,13,0.946586,24.6188
16619,5,1.19668,109.23
16733,0,0,0
16712,2,0.996523,4.133
16748,0,0,0
16644,12,0.543589,39.8376
16222,36,0.91462,37.9546
16050,79,0.590676,34.712
16778,2,0.621254,16.632
16856,0,0,0
16871,0,0,0
16906,0,0,0
16669,57,0.235109,55.5488
15222,32,3.24971,24.3094
16796,27,0.375901,29.3426
16958,9,0.756988,39.2012
16756,35,0.487307,41.7498
17170,1,0.537301,16.648
16826,31,0.527306,38.4908
16633,25,0.457169,30.739
16782,22,0.843252,34.3967
17172,2,1.50312,20.965
17258,0,0,0
16942,21,0.795289,30.5087
16886,25,0.831061,31.9862
17080,24,0.561391,31.6555
16351,72,0.740813,54.1085
17378,0,0,0
16913,33,0.694613,38.604
17229,17,0.706704,37.0926
15347,26,4.72129,29.8307
17286,16,0.870435,23.8418
17383,10,1.02964,32.3039
16968,32,0.968617,31.8652
17220,34,0.654364,39.8181
17628,0,0,0
15882,23,4.37883,30.5237
17640,0,0,0
17691,0,0,0
17699,0,0,0
17404,24,0.806197,45.4842
17506,32,0.422782,35.2868
17268,33,0.81474,47.9886
17392,24,0.88133,27.7567
17725,0,0,0
15137,114,1.35016,72.0761
17409,25,1.05544,30.1221
17599,10,0.631396,22.9393
17222,28,1.34712,36.609
17847,1,0.60582,16.441
17888,1,0.223281,3.228
17744,22,0.455627,33.5776
17489,47,0.591218,32.9056
4102,549,1.49145,146.683
17645,43,0.793941,47.3361
17766,34,0.788553,29.4701
16298,206,0.537643,58.5746
18434,0,0,0
18513,0,0,0
18525,2,0.359835,10.604
18551,0,0,0
18560,0,0,0
17748,50,0.839481,80.9097
18176,23,0.395306,35.9149
16775,90,1.08653,31.0028
18373,29,0.91342,70.2476
17750,69,0.86429,47.074
17976,43,1.13767,49.8348
18033,49,0.989148,52.3237
18616,30,0.637871,34.9988
18843,2,2.57527,4.48
17791,37,1.67229,86.9036
18953,0,0,0
17877,46,1.3545,48.0949
18613,29,0.889471,32.3264
18980,0,0,0
18993,0,0,0
19000,0,0,0
19060,0,0,0
18918,5,1.1554,23.1354
18904,17,0.767877,46.4219
18907,18,0.737303,27.9233
18585,24,1.63545,120.428
19148,7,0.63687,40.6937
17961,55,1.40237,53.6465
19311,0,0,0
19184,5,1.36098,34.5602
19370,0,0,0
12395,101,4.35387,50.1106
19465,0,0,0
19085,26,0.876506,39.7438
18893,56,0.659619,43.6709
18902,48,0.851211,42.4802
17768,90,1.16168,65.0563
17913,78,1.27292,55.1402
19500,11,0.749725,45.757
19372,27,0.638395,43.2818
19103,37,0.883593,46.2833
18361,42,2.0181,54.1959
17672,75,1.62244,56.1899
18679,171,0.399511,59.7123
19570,9,0.417969,20.369
18462,95,0.917896,48.6227
19355,25,1.24781,35.4397
19657,16,1.08699,29.3745
19666,15,1.18046,34.7435
19710,12,1.28654,21.9152
19963,2,1.30975,9.2405
20018,1,2.28296,6.944
19571,46,0.711121,49.9499
19778,24,0.787042,25.7471
19122,67,0.879018,36.0908
19415,62,0.742872,45.8321
19777,19,1.15465,30.4598
19934,11,0.520108,34.3405
19118,24,2.6171,37.2422
20133,0,0,0
20145,0,0,0
20151,0,0,0
20158,0,0,0
20072,12,0.68949,40.3342
19084,54,1.27011,38.1945
19776,38,0.721705,41.3103
19725,32,0.997811,50.1767
